,time,person_name,phone,email,company,role,application_status
0,2022-05-01T11:06:17.146171,Gretchen Dede,1157746100,Gretchen.Dede@protonmail.cc,Cone Printer Corporation,International Implementation Producer,applied
1,2022-05-21T13:47:02.146122,Gretchen Dede,1157746100,Gretchen.Dede@protonmail.cc,Cone Printer Corporation,International Implementation Producer,waiting_for_interview
2,2022-05-08T10:58:37.147304,Tasha Odele,+11784676846,Tasha.Odele@protonmail.io,Cone Printer Corporation,International Implementation Producer,applied
3,2022-05-26T13:27:35.147315,Tasha Odele,+11784676846,Tasha.Odele@protonmail.io,Cone Printer Corporation,International Implementation Producer,disqualified
4,2022-04-28T08:27:59.149844,Dottie Karen,9364709862,Dottie.Karen@sbcglobal.cc,Cone Printer Corporation,International Implementation Producer,applied
5,2022-05-02T08:27:25.149853,Dottie Karen,9364709862,Dottie.Karen@sbcglobal.cc,Cone Printer Corporation,International Implementation Producer,waiting_for_interview
6,2022-05-24T09:18:59.149834,Dottie Karen,9364709862,Dottie.Karen@sbcglobal.cc,Cone Printer Corporation,International Implementation Producer,offer_sent
7,2022-05-24T09:56:09.149823,Dottie Karen,9364709862,Dottie.Karen@sbcglobal.cc,Cone Printer Corporation,International Implementation Producer,offer_rejected
8,2022-05-06T12:02:33.150500,Alison Virginia,6021230615,Alison.Virginia@att.io,Cone Printer Corporation,International Implementation Producer,applied
9,2022-05-16T14:45:25.150511,Alison Virginia,6021230615,Alison.Virginia@att.io,Cone Printer Corporation,International Implementation Producer,disqualified
10,2022-05-12T11:15:07.151872,Anisa Maryjane,9269944750,Anisa.Maryjane@gmail.biz,Cone Printer Corporation,International Implementation Producer,applied
11,2022-05-15T13:34:20.151882,Anisa Maryjane,9269944750,Anisa.Maryjane@gmail.biz,Cone Printer Corporation,International Implementation Producer,waiting_for_interview
12,2022-04-29T09:35:14.155713,Ella Maja,+15468158184,Ella.Maja@aol.io,Cone Printer Corporation,International Implementation Producer,applied
13,2022-05-13T08:31:29.155703,Ella Maja,+15468158184,Ella.Maja@aol.io,Cone Printer Corporation,International Implementation Producer,waiting_for_interview
14,2022-05-23T08:22:48.155707,Ella Maja,+15468158184,Ella.Maja@aol.io,Cone Printer Corporation,International Implementation Producer,offer_sent
15,2022-05-27T14:44:27.155710,Ella Maja,+15468158184,Ella.Maja@aol.io,Cone Printer Corporation,International Implementation Producer,hired
16,2022-04-28T11:01:30.155839,Rozlynn Sheri,227008,Rozlynn.Sheri@msn.biz,Cone Printer Corporation,International Implementation Producer,applied
17,2022-05-01T12:16:16.155836,Rozlynn Sheri,227008,Rozlynn.Sheri@msn.biz,Cone Printer Corporation,International Implementation Producer,waiting_for_interview
18,2022-05-02T10:24:39.155833,Rozlynn Sheri,227008,Rozlynn.Sheri@msn.biz,Cone Printer Corporation,International Implementation Producer,disqualified
19,2022-05-19T11:52:08.157081,Nadine Raelyn,8659588325,Nadine.Raelyn@att.cc,Cone Printer Corporation,International Implementation Producer,applied
20,2022-05-02T11:29:06.146199,Aida Ginger,1001549449,Aida.Ginger@gmail.cc,Cone Printer Corporation,Principal Ideation Technician,applied
21,2022-05-12T12:55:05.146211,Aida Ginger,1001549449,Aida.Ginger@gmail.cc,Cone Printer Corporation,Principal Ideation Technician,disqualified
22,2022-04-30T12:07:26.148504,Karla Abby,0011590959460,Karla.Abby@hotmail.io,Cone Printer Corporation,Principal Ideation Technician,applied
23,2022-05-07T10:50:27.148494,Karla Abby,0011590959460,Karla.Abby@hotmail.io,Cone Printer Corporation,Principal Ideation Technician,waiting_for_interview
